group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,CD74,13.513977,4.0590415,1.2934147425932033e-41,4.7340272993653835e-37,0.989247311827957,0.8173913043478261
0,HLA-DRA,11.859929,3.3441882,1.9113666160259763e-32,1.3991585902633353e-28,0.956989247311828,0.7782608695652173
0,HLA-DPB1,11.4408245,3.769368,2.613884466199699e-30,1.1958848168421899e-26,0.9032258064516129,0.4217391304347826
0,HLA-DRB1,11.399375,3.667603,4.2113156679226216e-30,1.7126484973515095e-26,0.8924731182795699,0.508695652173913
0,MALAT1,11.382269,1.9947288,5.1248916326226955e-30,1.8757615864562329e-26,1.0,0.9869565217391304
0,SPINK2,11.198047,7.5029798,4.168211593279412e-29,1.0897193751829982e-25,0.8064516129032258,0.05217391304347826
0,CD52,10.813813,5.047737,2.961003118599036e-27,5.418783757192166e-24,0.8064516129032258,0.17391304347826086
0,ZFAS1,10.503926,1.511029,8.28606056141836e-26,8.665088645956383e-23,0.989247311827957,0.9695652173913043
0,CHST11,10.334179,2.6718066,4.936215311759985e-25,4.301676586326839e-22,0.9032258064516129,0.7347826086956522
0,RNF220,10.077584,3.0267625,6.941159165269879e-24,4.6191521201462336e-21,0.8387096774193549,0.508695652173913
0,HLA-DPA1,9.866387,3.2857537,5.822391058924441e-23,3.2785436176568224e-20,0.8279569892473119,0.4434782608695652
0,NAP1L1,9.8052,1.242677,1.0693555523023335e-22,5.67238877823445e-20,0.956989247311828,0.9608695652173913
0,FAM30A,9.554526,3.0307815,1.241505101219258e-21,5.680041026215758e-19,0.8064516129032258,0.45652173913043476
0,CD37,9.486101,3.283014,2.3983730574233974e-21,9.863241828624019e-19,0.7956989247311828,0.3652173913043478
0,FOS,9.446625,3.2878244,3.499315467038626e-21,1.3771875850438793e-18,0.8709677419354839,0.45652173913043476
0,MSI2,9.443994,2.3363073,3.588368557118641e-21,1.3972114633946744e-18,0.8709677419354839,0.7
0,DUSP1,9.308459,3.0550532,1.2970062536621105e-20,4.5211167514558964e-18,0.8387096774193549,0.5217391304347826
