,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
LINC00115,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.026996208617474607,1.4021604831015304,1.7306867
TNFRSF4,False,False,23,0.01502022,98.67128827267476,26.0,True,0.060029913658242104,1.2210779314048263,1.452655
ATAD3C,False,False,32,0.019064125,98.15135759676488,33.0,True,0.020779557865387956,1.0569682173213688,1.2006832
SKI,False,False,185,0.11900636,89.31253610629693,206.0,True,0.17993327663031844,1.3129801108696666,1.5937604
KCNAB2,False,False,465,0.35932988,73.13691507798961,622.0,True,0.21542521234853537,1.1824798601969377,1.3933921
ERRFI1,False,False,2,0.002310803,99.8844598497978,4.0,True,0.0501493924401537,2.8100829471195943,3.8923914
RERE,False,False,1228,1.5759677,29.058347775852113,2728.0,True,1.046548005215925,1.4701332679305477,1.3322449
SLC2A5,False,False,97,0.06643558,94.39630271519353,115.0,True,0.12217937817931852,1.8468822045086626,2.4135063
GPR157,False,False,28,0.016753322,98.38243789716927,29.0,True,0.022501967788481795,1.7120293633073052,2.206455
RBP7,False,False,4,0.00751011,99.7689196995956,13.0,True,0.08318420360002661,3.284255570649425,4.6204295
FBXO44,False,False,53,0.03235124,96.93818601964182,56.0,True,0.021733653967609252,1.4583687078695826,1.816988
AL357873.1,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.020787401749231,1.5564662292840163,1.9676056
TMEM51,False,False,23,0.013864818,98.67128827267476,24.0,True,0.023349977808424884,1.6382806507401548,2.0932224
AL121992.1,False,False,5,0.0028885037,99.71114962449451,5.0,True,0.00980528796659544,1.1577255328759584,1.3553846
BX284668.5,False,False,59,0.034662046,96.59156556903524,60.0,True,0.041485225943962596,1.393993578693858,1.7181473
AL049569.1,False,False,33,0.019641826,98.09358752166378,34.0,True,0.037672922645080646,1.1543758963105757,1.3502417
TMCO4,False,False,131,0.08492201,92.43212016175622,147.0,True,0.12098893148123534,1.4900849998771024,1.8656847
CDA,False,False,8,0.004621606,99.53783939919121,8.0,True,0.015712105984055518,1.6321948442573342,2.0838783
HSPG2,False,False,118,0.073368,93.18313113807048,127.0,True,0.06564066898961615,1.1211980109959985,1.2993008
CDC42-AS1,False,False,41,0.03004044,97.631426920855,52.0,True,0.056133202385161896,1.2047109667697231,1.4275254
AL031428.1,False,False,271,0.18370883,84.34430964760254,318.0,True,0.20753866121275183,1.2450838165632794,1.4895133
