,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
MIR1302-2HG,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
FAM138A,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0015060094390192701,-0.71988644191799,-1.5274749
AL627309.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL627309.5,False,False,6,0.0034662045,99.65337954939342,6.0,False,0.003677598371799924,0.17399633199597675,-0.15501961
AL627309.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AP006222.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL732372.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F29,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC114498.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
OR4F16,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL669831.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01409,False,False,67,0.040439054,96.12940496822647,70.0,False,0.03593295450686953,0.028309673082319093,-0.3787049
FAM87B,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01128,False,False,179,0.11554015,89.65915655690353,200.0,False,0.06980873303154671,-0.06548384157516111,-0.52271414
LINC00115,False,False,10,0.0057770074,99.42229924898902,10.0,True,0.026996208617474607,1.4021604831015304,1.7306867
FAM41C,False,False,36,0.020797227,97.92027729636048,36.0,False,0.02533731092519991,0.29008476051108545,0.02322096
AL645608.6,False,False,6,0.004043905,99.65337954939342,7.0,False,9.999999999995e-13,,
AL645608.2,False,False,3,0.0017331023,99.8266897746967,3.0,False,9.999999999995e-13,,
AL645608.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02593,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SAMD11,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0012493605847529493,-0.9068463221450961,-1.8145305
NOC2L,False,False,461,0.35701907,73.36799537839399,618.0,False,0.3789540188909115,0.727786582018866,0.52926123
KLHL17,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0041204962542096555,-0.35597193802984956,-0.96872556
PLEKHN1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PERM1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL645608.7,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
HES4,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0011860394327884295,-0.9588903503488231,-1.8944381
ISG15,False,False,738,0.712305,57.36568457538995,1233.0,False,0.5344033420176818,0.5212667091445699,0.07066543
AL645608.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0020723454739477397,-0.40038552727198734,-1.0369176
AGRN,False,False,6,0.0034662045,99.65337954939342,6.0,False,0.012104566699845531,0.8937958555461114,0.9501506
AL645608.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AL645608.8,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
RNF223,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
C1orf159,False,False,100,0.06239168,94.22299248989023,108.0,False,0.06782419528811989,-0.4189597447017813,-1.0654361
AL390719.3,False,False,15,0.008665511,99.13344887348353,15.0,False,0.009796417656727844,0.8652243264791502,0.9062823
LINC01342,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AL390719.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TTLL10-AS1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
TTLL10,False,False,21,0.012131716,98.78682842287695,21.0,False,0.018416907258939245,0.622830590552075,0.5341143
TNFRSF18,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.008513710918541967,1.0158348480989292,1.1375276
TNFRSF4,False,False,23,0.01502022,98.67128827267476,26.0,True,0.060029913658242104,1.2210779314048263,1.452655
SDF4,False,False,493,0.3801271,71.51935297515887,658.0,False,0.3360550747266886,-0.08862182672411549,-1.2836466
B3GALT6,False,False,114,0.07047949,93.41421143847487,122.0,False,0.08234608281640307,0.15286023272133006,-0.18747169
C1QTNF12,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.0023080558864004546,-0.9830716276287196,-1.9315658
AL162741.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0016724627615443898,-0.6149694065185807,-1.3663867
UBE2J2,False,False,503,0.42576545,70.94165222414789,737.0,False,0.38733860783569046,-0.0926861924555276,-1.2926718
LINC01786,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.001438885841915054,-0.7655143542821056,-1.5975313
SCNN1D,False,False,7,0.004043905,99.59560947429232,7.0,False,0.0022348006193264043,-0.3248333049250792,-0.9209157
ACAP3,False,False,104,0.06296938,93.99191218948584,109.0,False,0.07444630650872824,0.6088157095986676,0.5125961
PUSL1,False,False,156,0.10167533,90.98786828422877,176.0,False,0.10755524473283293,-0.397369491564904,-1.0322868
INTS11,False,False,511,0.38532642,70.4794916233391,667.0,False,0.32201388981806195,0.5060043253840462,0.036773942
AL139287.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CPTP,False,False,109,0.06816869,93.70306181398036,118.0,False,0.07301858142464561,-0.21801760204984322,-0.7569124
TAS1R3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DVL1,False,False,26,0.01502022,98.49797804737146,26.0,False,0.023531677245869357,0.1248202772282675,-0.23052384
MXRA8,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AURKAIP1,False,False,940,1.3558637,45.696129404968225,2347.0,False,0.9417307681700822,0.22251059680943738,-0.749752
CCNL2,False,False,279,0.18197574,83.88214904679376,315.0,False,0.21214425308200063,0.5088315281463559,0.35908172
MRPL20-AS1,False,False,134,0.08318891,92.25880993645292,144.0,False,0.08917531714740302,0.041185381138776775,-0.3589357
MRPL20,False,False,977,1.5863663,43.55863662622761,2746.0,False,1.0226548186680264,0.39854288161493795,-0.4559944
AL391244.2,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.014802281068317285,0.7850966328924586,0.78325534
ANKRD65,False,False,35,0.020797227,97.97804737146159,36.0,False,0.01965918478672828,0.35495861697786146,0.12282738
