group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,SPINK2,11.198047,7.5029798,4.168211593279412e-29,1.0897193751829982e-25,0.8064516129032258,0.05217391304347826
0,CD52,10.813813,5.047737,2.961003118599036e-27,5.418783757192166e-24,0.8064516129032258,0.17391304347826086
0,HLA-DRB5,9.11042,4.2023387,8.206328925880369e-20,2.42225681464635e-17,0.7096774193548387,0.15217391304347827
0,ATP8B4,9.078839,4.418639,1.097384928102672e-19,3.1379207619910856e-17,0.7096774193548387,0.15217391304347827
0,PLCB1,9.028178,3.9991038,1.7455267525554406e-19,4.767763035095648e-17,0.7096774193548387,0.1391304347826087
0,PTPRC,8.847904,3.5113835,8.917784732897206e-19,2.1759989267251377e-16,0.7311827956989247,0.2
0,CD53,8.643945,4.7723227,5.430477251927974e-18,1.1357765594160902e-15,0.6559139784946236,0.1
0,HOPX,8.398535,8.217778,4.520822767084601e-17,7.955126639329975e-15,0.6021505376344086,0.013043478260869565
0,FNBP1,8.362349,3.4966557,6.148173232742775e-17,1.0614589079793317e-14,0.6881720430107527,0.17391304347826086
0,SELL,8.354454,5.0853806,6.573626620214532e-17,1.1295836052886013e-14,0.6236559139784946,0.06086956521739131
0,CSF3R,8.06891,5.7325735,7.092851943443945e-16,1.0467962660564186e-13,0.5913978494623656,0.02608695652173913
0,IGHM,7.9162693,7.5069103,2.447434538612134e-15,3.233882727355333e-13,0.5698924731182796,0.013043478260869565
0,ITM2C,7.6925716,3.3232744,1.4420694223632485e-14,1.6494119664974144e-12,0.6451612903225806,0.2
0,IDS,7.6109877,3.905595,2.720094959460767e-14,3.0078004716381732e-12,0.6129032258064516,0.14347826086956522
0,AVP,7.5721693,6.9580016,3.6704245265757347e-14,3.974591955538416e-12,0.5591397849462365,0.04782608695652174
0,ICAM3,7.555721,3.4593997,4.1654583836212647e-14,4.4191287622875916e-12,0.6344086021505376,0.24347826086956523
0,RCSD1,7.2583346,4.6168003,3.9188526934706663e-13,3.481406005672812e-11,0.5591397849462365,0.08695652173913043
0,AL589693.1,7.032663,6.3154793,2.0262836496919094e-12,1.5949249002660984e-10,0.5161290322580645,0.030434782608695653
0,PLAC8,7.021478,3.3472855,2.1953320758304616e-12,1.7096031767546963e-10,0.5913978494623656,0.2
0,AREG,6.8602843,6.0774164,6.872371791977193e-12,4.922420351431649e-10,0.5161290322580645,0.05652173913043478
0,CALN1,6.7885695,3.3629453,1.132510059531412e-11,7.91049631467733e-10,0.5806451612903226,0.1565217391304348
0,MBOAT7,6.745146,3.810299,1.5287366479330115e-11,1.0557224537923802e-09,0.5483870967741935,0.13043478260869565
0,TSC22D3,6.708301,2.6911952,1.9690312742099233e-11,1.3296773739364834e-09,0.6451612903225806,0.23478260869565218
0,RBPMS,6.673431,5.1427054,2.498915986078769e-11,1.6720808776319747e-09,0.4946236559139785,0.021739130434782608
0,PRKCB,6.663562,3.1046546,2.6726978328515567e-11,1.7657655844801413e-09,0.5913978494623656,0.21739130434782608
0,HLA-DQB1,6.6464553,4.3416443,3.0023539006478257e-11,1.9658167284009137e-09,0.5268817204301075,0.1
0,SMIM24,6.639876,3.7277834,3.139470609506752e-11,2.0519243531885114e-09,0.5376344086021505,0.09565217391304348
0,CRHBP,6.610927,3.629027,3.8192100389873355e-11,2.4610370886791457e-09,0.5376344086021505,0.0782608695652174
0,FLT3,6.5523705,6.94049,5.663073196365784e-11,3.4777540614124843e-09,0.4731182795698925,0.013043478260869565
0,C1QTNF4,6.43789,5.794535,1.21145646008608e-10,6.993772538739844e-09,0.4731182795698925,0.021739130434782608
0,RNF125,6.3266993,4.294006,2.504609594804105e-10,1.3661880145964984e-08,0.5053763440860215,0.10869565217391304
0,CASC15,6.321436,2.9312265,2.591442179337184e-10,1.4093517861206578e-08,0.5591397849462365,0.14782608695652175
0,CHRM3,6.276038,2.3073976,3.473088730841457e-10,1.83963126827103e-08,0.6236559139784946,0.1956521739130435
0,CD109,6.187875,3.1705906,6.098066399302065e-10,3.108570031766781e-08,0.5376344086021505,0.1608695652173913
0,CORO1A,6.125371,3.096522,9.047244323812218e-10,4.511419475420314e-08,0.5376344086021505,0.17391304347826086
0,ZFP36,6.0885267,2.6085,1.1395434943971894e-09,5.628668210314646e-08,0.5806451612903226,0.2
0,PROM1,5.963519,4.6329923,2.468623268894837e-09,1.1365293115071689e-07,0.45161290322580644,0.043478260869565216
0,NEGR1,5.885883,5.2432985,3.959343811898303e-09,1.7629676746872234e-07,0.44086021505376344,0.034782608695652174
0,PPP1R16B,5.824037,2.6737292,5.744280472576111e-09,2.4910712035160927e-07,0.5268817204301075,0.13043478260869565
0,ANKRD44,5.792456,4.149529,6.936438990074732e-09,2.972840790113879e-07,0.46236559139784944,0.08695652173913043
0,SORL1,5.787193,6.806112,7.157241740895914e-09,3.0496182183763833e-07,0.41935483870967744,0.013043478260869565
